"FY_YEAR","ORG_ROLL_NM","ORG_SHRT_NM","SORG_ROLL_CD","DOD_GRP_NM","DOD_OCC_NM","POS_TYP_CD","TOTAL"
"2015","Army","USA","R","Infantry","Special Forces","E",6728
"2015","Army","USA","R","Infantry","Infantry, General","E",60804
"2015","Army","USA","R","Musicians","Musicians, General","E",1804
"2015","Army","USA","R","Personnel","Personnel, General","E",11834
"2015","Army","USA","R","Personnel","Recruiting and Counseling","E",4488
"2015","Army","USA","R","Utilities","Electricians","E",323
"2015","Army","USA","R","Utilities","Utilities, General","E",3554
"2015","Army","USA","R","Automotive","Tracked Vehicles","E",3800
"2015","Army","USA","R","Automotive","Automotive, General","E",19621
"2015","Army","USA","R","Automotive","Construction Equipment","E",900
"2015","Army","USA","R","Seamanship","Small Boat Operators","E",423
"2015","Army","USA","R","Dental Care","Dental Hygiene","E",157
"2015","Army","USA","R","Dental Care","Dental Laboratory","E",109
"2015","Army","USA","R","Dental Care","Dental Care, General","E",1215
"2015","Army","USA","R","Photography","Photography, General","E",1199
"2015","Army","USA","R","Radio/Radar","Communications Radio","E",9646
"2015","Army","USA","R","Radio/Radar","Surveillance/Target Acquisition and Tracking Radar","E",250
"2015","Army","USA","R","Radio/Radar","Navigation, Communication and Countermeasure, N.E.C.","E",9508
"2015","Army","USA","R","Construction","Woodworking","E",731
"2015","Army","USA","R","Construction","Construction, General","E",611
"2015","Army","USA","R","Construction","Construction Equipment Operation","E",3308
"2015","Army","USA","R","Food Service","Food Service, General","E",7967
"2015","Army","USA","R","Intelligence","Counterintelligence","E",1214
"2015","Army","USA","R","Intelligence","Image Interpretation","E",1495
"2015","Army","USA","R","Intelligence","Operational Intelligence","E",8543
"2015","Army","USA","R","Intelligence","Language Interrogation/Interpretation","E",3147
"2015","Army","USA","R","Medical Care","Orthopedic Services","E",155
"2015","Army","USA","R","Medical Care","Licensed Practical Nurse","E",1502
"2015","Army","USA","R","Medical Care","Respiratory Therapy Services","E",261
"2015","Army","USA","R","Medical Care","Operating Room Services/Surgery","E",902
"2015","Army","USA","R","Medical Care","Medical Care and Treatment, General","E",19481
"2015","Army","USA","R","Medical Care","Physical/Occupational Therapy Services","E",337
"2015","Army","USA","R","Medical Care","Behavioral Sciences/Mental Health Services","E",1196
"2015","Army","USA","R","Metalworking","Machinists","E",1093
"2015","Army","USA","R","Administration","Legal","E",1659
"2015","Army","USA","R","Administrators","Police","O",2421
"2015","Army","USA","R","Administrators","Information","O",275
"2015","Army","USA","R","Administrators","Data Processing","O",833
"2015","Army","USA","R","Administrators","Morale and Welfare","O",49
"2015","Army","USA","R","Administrators","Manpower and Personnel","O",2946
"2015","Army","USA","R","Administrators","Comptrollers and Fiscal","O",753
"2015","Army","USA","R","Data Processing","Operations/Analysts","E",7818
"2015","Army","USA","R","Law Enforcement","Corrections","E",1486
"2015","Army","USA","R","Law Enforcement","Investigations","E",540
"2015","Army","USA","R","Law Enforcement","Law Enforcement, General","E",12763
"2015","Army","USA","R","Motor Transport","Motor Vehicle Operators","E",12571
"2015","Army","USA","R","Personal Service","Laundry and Personal Service, General","E",612
"2015","Army","USA","R","Unknown, Officer","Unknown, Officer","O",1759
"2015","Army","USA","R","Unknown, Enlisted","Unknown, Enlisted","E",264
"2015","Army","USA","R","Clerical/Personnel","First Sergeants, Sergeants Major, and Leading Chiefs","E",207
"2015","Army","USA","R","Combat Engineering","Combat Engineering, General","E",9613
"2015","Army","USA","R","Wire Communications","Linemen","E",1427
"2015","Army","USA","R","Armor and Amphibious","Armor and Amphibious, General","E",6348
"2015","Army","USA","R","Health Care Officers","Urology","O",94
"2015","Army","USA","R","Health Care Officers","Pharmacy","O",163
"2015","Army","USA","R","Health Care Officers","Podiatry","O",28
"2015","Army","USA","R","Health Care Officers","Dietician","O",156
"2015","Army","USA","R","Health Care Officers","Neurology","O",63
"2015","Army","USA","R","Health Care Officers","Optometry","O",138
"2015","Army","USA","R","Health Care Officers","Pathology","O",113
"2015","Army","USA","R","Health Care Officers","Cardiology","O",65
"2015","Army","USA","R","Health Care Officers","Entomology","O",3
"2015","Army","USA","R","Health Care Officers","Nephrology","O",17
"2015","Army","USA","R","Health Care Officers","Psychiatry","O",211
"2015","Army","USA","R","Health Care Officers","Dermatology","O",84
"2015","Army","USA","R","Health Care Officers","Endodontics","O",74
"2015","Army","USA","R","Health Care Officers","Pedodontics","O",19
"2015","Army","USA","R","Health Care Officers","Social Work","O",18
"2015","Army","USA","R","Health Care Officers","Orthodontics","O",39
"2015","Army","USA","R","Health Care Officers","Periodontics","O",63
"2015","Army","USA","R","Health Care Officers","Rheumatology","O",17
"2015","Army","USA","R","Health Care Officers","Endocrinology","O",15
"2015","Army","USA","R","Health Care Officers","Nurse Midwife","O",45
"2015","Army","USA","R","Health Care Officers","Ophthalmology","O",93
"2015","Army","USA","R","Health Care Officers","Veterinarians","O",543
"2015","Army","USA","R","Health Care Officers","Anesthesiology","O",146
"2015","Army","USA","R","Health Care Officers","Oral Pathology","O",13
"2015","Army","USA","R","Health Care Officers","Prosthodontics","O",60
"2015","Army","USA","R","Health Care Officers","Family Practice","O",585
"2015","Army","USA","R","Health Care Officers","General Surgery","O",300
"2015","Army","USA","R","Health Care Officers","Plastic Surgery","O",21
"2015","Army","USA","R","Health Care Officers","Gastroenterology","O",55
"2015","Army","USA","R","Health Care Officers","General Medicine","O",216
"2015","Army","USA","R","Health Care Officers","Nuclear Medicine","O",12
"2015","Army","USA","R","Health Care Officers","Obstetrics Nurse","O",197
"2015","Army","USA","R","Health Care Officers","Physical Therapy","O",320
"2015","Army","USA","R","Health Care Officers","General Dentistry","O",558
"2015","Army","USA","R","Health Care Officers","Internal Medicine","O",369
"2015","Army","USA","R","Health Care Officers","Nurse Anesthetist","O",283
"2015","Army","USA","R","Health Care Officers","Pulmonary Disease","O",51
"2015","Army","USA","R","Health Care Officers","Emergency Medicine","O",337
"2015","Army","USA","R","Health Care Officers","Infectious Disease","O",52
"2015","Army","USA","R","Health Care Officers","Orthopedic Surgery","O",260
"2015","Army","USA","R","Health Care Officers","Mental Health Nurse","O",100
"2015","Army","USA","R","Health Care Officers","Otorhinolaryngology","O",97
"2015","Army","USA","R","Health Care Officers","Pediatrics, General","O",208
"2015","Army","USA","R","Health Care Officers","Physician Assistant","O",887
"2015","Army","USA","R","Health Care Officers","Preventive Medicine","O",82
"2015","Army","USA","R","Health Care Officers","Audiology and Speech","O",4
"2015","Army","USA","R","Health Care Officers","Clinical Laboratory ","O",390
"2015","Army","USA","R","Health Care Officers","Neurological Surgery","O",24
"2015","Army","USA","R","Health Care Officers","Occupational Therapy","O",96
"2015","Army","USA","R","Health Care Officers","Operating Room Nurse","O",369
"2015","Army","USA","R","Health Care Officers","Psychology, Clinical","O",535
"2015","Army","USA","R","Health Care Officers","Obstetrics/Gynecology","O",239
"2015","Army","USA","R","Health Care Officers","Occupational Medicine","O",31
"2015","Army","USA","R","Health Care Officers","Radiology, Diagnostic","O",228
"2015","Army","USA","R","Health Care Officers","Allergy and Immunology","O",35
"2015","Army","USA","R","Health Care Officers","Community Health Nurse","O",144
"2015","Army","USA","R","Health Care Officers","Medical/Surgical Nurse","O",1816
"2015","Army","USA","R","Health Care Officers","Radiology, Therapeutic","O",14
"2015","Army","USA","R","Health Care Officers","Comprehensive Dentistry","O",200
"2015","Army","USA","R","Health Care Officers","Hematology and Oncology","O",39
"2015","Army","USA","R","Health Care Officers","Nuclear Medical Science","O",2
"2015","Army","USA","R","Health Care Officers","Public Health Dentistry","O",7
"2015","Army","USA","R","Health Care Officers","Cardiac/Thoracic Surgery","O",13
"2015","Army","USA","R","Health Care Officers","Family Nurse Practitioner","O",172
"2015","Army","USA","R","Health Care Officers","Oral Maxillofacial Surgery","O",100
"2015","Army","USA","R","Health Care Officers","Pediatrics, Subspecialties","O",138
"2015","Army","USA","R","Health Care Officers","Peripheral Vascular Surgery","O",22
"2015","Army","USA","R","Health Care Officers","Veterinarian Food Technician","O",69
"2015","Army","USA","R","Health Care Officers","Environmental Health Services","O",483
"2015","Army","USA","R","Health Care Officers","Critical Care/Trauma, Medicine","O",11
"2015","Army","USA","R","Health Care Officers","Health Services Administration","O",3217
"2015","Army","USA","R","Health Care Officers","Mental Health Nurse Practitioner","O",49
"2015","Army","USA","R","Health Care Officers","Physical/Rehabilitation Medicine","O",52
"2015","Army","USA","R","Health Care Officers","Biomedical Equipment Maintenance and Repair ","O",75
"2015","Army","USA","R","Health Care Officers","Other Biomedical Science and Allied Health Officers","O",1
"2015","Army","USA","R","Health Care Officers","Aviation/Aerospace Medicine, Residency Trained Aerospace","O",54
"2015","Army","USA","R","Radio and Radio Code","Radio Code","E",1331
"2015","Army","USA","R","Shipboard Propulsion","Auxiliaries","E",376
"2015","Army","USA","R","Intelligence Officers","Counterintelligence","O",749
"2015","Army","USA","R","Intelligence Officers","Intelligence, General","O",4793
"2015","Army","USA","R","Intelligence Officers","Communications Intelligence","O",1015
"2015","Army","USA","R","Armament and Munitions","Ammunition Repair","E",3272
"2015","Army","USA","R","Armament and Munitions","Aviation Ordnance","E",1318
"2015","Army","USA","R","Armament and Munitions","Small Arms Repair","E",1608
"2015","Army","USA","R","Other Functional Support","Unit Supply","E",172
"2015","Army","USA","R","Other Functional Support","Transportation","E",2238
"2015","Army","USA","R","Other Functional Support","Flight Operations","E",2141
"2015","Army","USA","R","Other Functional Support","Supply Administration","E",22582
"2015","Army","USA","R","Undesignated Occupations","Undesignated Occupations, General","E",31
"2015","Army","USA","R","Ancillary Medical Support","Pharmacy","E",626
"2015","Army","USA","R","Ancillary Medical Support","Radiology","E",1014
"2015","Army","USA","R","Ancillary Medical Support","Biomedical Laboratory Services","E",1820
"2015","Army","USA","R","Combat Operations Control","Combat Operations Control, General","E",17659
"2015","Army","USA","R","Information and Education","Information and Education, General","E",1810
"2015","Army","USA","R","Non-Occupational, Officer","Students","O",271
"2015","Army","USA","R","Non-Occupational, Officer","Non-Occupational, Other","O",182
"2015","Army","USA","R","Other Electronic Equipment","Electronic Instruments, N.E.C.","E",1063
"2015","Army","USA","R","Power Generating Equipment","Electric Power","E",3030
"2015","Army","USA","R","Not Occupationally Qualified","Not Occupationally Qualified, General","E",2736
"2015","Army","USA","R","Ordnance Disposal and Diving","Divers","E",219
"2015","Army","USA","R","Ordnance Disposal and Diving","EOD/UDT","E",2700
"2015","Army","USA","R","Scientists and Professionals","Legal","O",1864
"2015","Army","USA","R","Scientists and Professionals","Chaplains","O",1515
"2015","Army","USA","R","Scientists and Professionals","Psychologists","O",516
"2015","Army","USA","R","Scientists and Professionals","Social Scientists","O",1345
"2015","Army","USA","R","Scientists and Professionals","Physical Scientists","O",195
"2015","Army","USA","R","Scientists and Professionals","Educators and Instructors","O",81
"2015","Army","USA","R","Scientists and Professionals","Mathematicians and Statisticians","O",331
"2015","Army","USA","R","Scientists and Professionals","Research and Development Coordinators","O",540
"2015","Army","USA","R","Tactical Operations Officers","Operations Staff","O",1976
"2015","Army","USA","R","Tactical Operations Officers","Helicopter Pilots","O",8139
"2015","Army","USA","R","Tactical Operations Officers","Ground and Naval Arms","O",19421
"2015","Army","USA","R","Tactical Operations Officers","Other Fixed-Wing Pilots","O",379
"2015","Army","USA","R","Tactical Operations Officers","Unmanned Vehicle (UV) Operators","O",227
"2015","Army","USA","R","Aircraft and Aircraft Related","Aircraft Engines","E",715
"2015","Army","USA","R","Aircraft and Aircraft Related","Aircraft, General","E",12173
"2015","Army","USA","R","Aircraft and Aircraft Related","Aircraft Structures","E",800
"2015","Army","USA","R","Aircraft and Aircraft Related","Aircraft Accessories","E",2504
"2015","Army","USA","R","Radar and Air Traffic Control","Radar","E",955
"2015","Army","USA","R","Radar and Air Traffic Control","Air Traffic Control Radar","E",1183
"2015","Army","USA","R","Religious, Morale and Welfare","Chaplain's Assistants","E",1554
"2015","Army","USA","R","Technical Specialists, N.E.C.","Physical Science Laboratory","E",235
"2015","Army","USA","R","Technical Specialists, N.E.C.","Firefighting and Damage Control","E",264
"2015","Army","USA","R","Technical Specialists, N.E.C.","Memorial Activities and Embalming","E",547
"2015","Army","USA","R","Technical Specialists, N.E.C.","Nuclear, Biological, and Chemical Warfare Specialists","E",5598
"2015","Army","USA","R","Forward Area Equipment Support","Forward Area Equipment Support, General","E",1702
"2015","Army","USA","R","Officer Candidates and Students","Students","E",228
"2015","Army","USA","R","Officer Candidates and Students","Cadets and Other Officer Candidates","E",148
"2015","Army","USA","R","Communications Center Operations","Communications Center Operations, General","E",3601
"2015","Army","USA","R","Accounting, Finance and Disbursing","Disbursing","E",1693
"2015","Army","USA","R","Material Receipt, Storage and Issue","Missile Fuel and Petroleum","E",7116
"2015","Army","USA","R","Material Receipt, Storage and Issue","Warehousing and Equipment Handling","E",1426
"2015","Army","USA","R","Unmanned Vehicle Systems Operations","Unmanned Vehicle System (UVS) Operators, General","E",1896
"2015","Army","USA","R","Engineering and Maintenance Officers","Other","O",370
"2015","Army","USA","R","Engineering and Maintenance Officers","Chemical","O",1420
"2015","Army","USA","R","Engineering and Maintenance Officers","Ordnance","O",2194
"2015","Army","USA","R","Engineering and Maintenance Officers","Ship Machinery","O",80
"2015","Army","USA","R","Engineering and Maintenance Officers","Missile Maintenance","O",432
"2015","Army","USA","R","Engineering and Maintenance Officers","Automotive and Allied","O",1132
"2015","Army","USA","R","Engineering and Maintenance Officers","Electrical/Electronic","O",163
"2015","Army","USA","R","Engineering and Maintenance Officers","Communications and Radar","O",4565
"2015","Army","USA","R","Engineering and Maintenance Officers","Construction and Utilities","O",4152
"2015","Army","USA","R","Engineering and Maintenance Officers","Aviation Maintenance and Allied","O",319
"2015","Army","USA","R","Medical Administration and Logistics","Medical Logistics","E",1125
"2015","Army","USA","R","Medical Administration and Logistics","Medical Administration","E",680
"2015","Army","USA","R","Biomedical Sciences and Allied Health","Physiology","E",45
"2015","Army","USA","R","Biomedical Sciences and Allied Health","Diet Therapy","E",415
"2015","Army","USA","R","Biomedical Sciences and Allied Health","Veterinary Medicine","E",1588
"2015","Army","USA","R","Biomedical Sciences and Allied Health","Ophthalmology/Optometry","E",285
"2015","Army","USA","R","Biomedical Sciences and Allied Health","Environmental Health/Preventive Medicine Services","E",624
"2015","Army","USA","R","Biomedical Sciences and Allied Health","Biomedical Equipment Maintenance & Repair Services","E",791
"2015","Army","USA","R","Missile Guidance, Control and Checkout","Missile Guidance and Control","E",703
"2015","Army","USA","R","Signal Intelligence/Electronic Warfare","Analysis","E",3423
"2015","Army","USA","R","Signal Intelligence/Electronic Warfare","Electronic Countermeasures","E",1774
"2015","Army","USA","R","Signal Intelligence/Electronic Warfare","Intercept Operators (Code and Non-Code)","E",3627
"2015","Army","USA","R","Signal Intelligence/Electronic Warfare","Signal Intelligence/Electronic Warfare, General","E",912
"2015","Army","USA","R","General Officers and executives, N.E.C.","General and Flag","O",330
"2015","Army","USA","R","Supply, Procurement and Allied Officers","Supply","O",730
"2015","Army","USA","R","Supply, Procurement and Allied Officers","Food Service","O",158
"2015","Army","USA","R","Supply, Procurement and Allied Officers","Transportation","O",1354
"2015","Army","USA","R","Supply, Procurement and Allied Officers","Logistics, General","O",6523
"2015","Army","USA","R","Supply, Procurement and Allied Officers","Procurement and Production","O",462
"2015","Army","USA","R","Artillery/Gunnery, Rockets, and Missiles","Rocket Artillery","E",1288
"2015","Army","USA","R","Artillery/Gunnery, Rockets, and Missiles","Artillery and Gunnery","E",8453
"2015","Army","USA","R","Artillery/Gunnery, Rockets, and Missiles","Missile Artillery, Operating Crew","E",8247
"2015","Army","USA","R","Other Mechanical and Electrical Equipment","Other Mechanical and Electrical Equipment, General","E",967
"2015","Army","USA","R","Fire Control Electronic Systems (Non-Missile)","Shipboard and Other Fire Control","E",218
"2015","Army","USA","R","Mapping, Surveying, Drafting, and Illustrating","Drafting","E",364
"2015","Army","USA","R","Mapping, Surveying, Drafting, and Illustrating","Surveying","E",1123
"2015","Army","ARNG","G","Infantry","Special Forces","E",1480
"2015","Army","ARNG","G","Infantry","Infantry, General","E",36989
"2015","Army","ARNG","G","Musicians","Musicians, General","E",1726
"2015","Army","ARNG","G","Personnel","Personnel, General","E",9467
"2015","Army","ARNG","G","Personnel","Recruiting and Counseling","E",2770
"2015","Army","ARNG","G","Utilities","Electricians","E",1085
"2015","Army","ARNG","G","Utilities","Utilities, General","E",4308
"2015","Army","ARNG","G","Automotive","Tracked Vehicles","E",2273
"2015","Army","ARNG","G","Automotive","Automotive, General","E",18786
"2015","Army","ARNG","G","Automotive","Construction Equipment","E",1437
